ligand,gene
Activin A,INHBA
BDNF,BDNF
BMP2,BMP2
BMP4,BMP4
BMP6,BMP6
BMP7,BMP7
CCL2,CCL2
CD40L,CD40LG
CXCL12,CXCL12
Dihydrotestosterone,
EGF,EGF
EPO,EPO
Estradiol,N/A
FGF2,FGF2
GCSF,CSF3
GDF11,GDF11
GMCSF,CSF2
HGF,HGF
HMGB1,HMGB1
IFN1,IFNA1
IFN1,IFNB1
IFN1,IFN
IFNG,IFNG
IFNL,IFNL1
IFNL,IFNL2
IFNL,IFNL3
IFNL,IFNL4
IGF1,IGF1
IL10,IL10
IL10,IL10A
IL12,IL12A
IL12,IL12B
IL13,IL13
IL15,IL15
IL17A,IL17A
IL17A,CTLA8
IL18,IL18
IL18,IL1F4
IL18,IGIF
IL1A,IL1A
IL1A,IL1F1
IL1B,IL1B
IL1B,IL1F2
IL2,IL2
IL2,TCGF
IL21,IL21
IL21,Za11
IL22,IL22
IL27,IL27
IL27,IL27A
IL3,IL3
IL3,MCGF
IL33,IL33
IL36,IL36A
IL36,IL36B
IL36,IL36G
IL36,IL36RN
IL4,IL4
IL6,IL6
INS,INS
LIF,LIF
LTA,LTA
MCSF,CSF1
N-3 PUFA,
NO,
NRG1,NRG1
OSM,OSM
PDGFB,PDGFB
PDGFD,PDGFD
PGE2,
Palmitic acid,
Progesterone,
TGFA,TGFA
TGFB1,TGFB1
TGFB3,TGFB3
TNFA,TNF
TNFA,TNFA
TRAIL,TNFSF10
TSLP,TSLP
TWEAK,TNFSF12
Testosterone,
VEGFA,VEGFA
VEGFA,MVCD1
WNT3A,WNT3A
WNT5A,WNT5A